Handle,Title,Product Category,Type,Tags,Published,Image Src,Status
petit-moyen-cream-puffy-woven,"D3 ALT Petit Moyen -, CREAM PUFFY WOVEN",Uncategorized,HANDBAGS - TOP HANDLE - PETIT MOYEN,"2-year-warranty, add-on::all-straps, cp-fall24, FALL-24, material::care_guides_puffywovenlea",False,,active
estelle-black-silver-beading,"D3 ALT Estelle -, BLACK & SILVER BEADING",Uncategorized,HANDBAGS - CROSSBODY - ESTELLE,"2-year-warranty, add-on::mini-bag-straps, FALL-24, material::care_guides_beaded",False,,active
flat-clutch-w-tabs-cream-puffy-woven,"D3 ALT Flat Clutch w/ Tabs -, CREAM PUFFY WOVEN",Uncategorized,HANDBAGS - CLUTCH - FLAT CLUTCH W TABS,"2-year-warranty, add-on::mini-bag-straps, cp-fall24, FALL-24, material::care_guides_puffywovenlea",False,,active
adjustable-crossbody-strap-cream-w-black-oui,"D3 ALT Adjustable Webbing Strap -, CREAM W/ BLACK OUI",Uncategorized,STRAPS - ADJUSTABLE STRAP - SYNTHETIC WEBBING,"2-year-warranty, add-on::crossbody-bags, Category:Accessories, FALL-24, international-oui, material::care_guides_cottonweb, material::care_guides_textjacquard",False,,active
original-tee-cream-w-navy-le-weekend,Original Tee,Uncategorized,APPAREL - TEES - ORIGINAL FIT,"FALL-24, le-cute-show, material::care_guides_OGTee, MGM --embroidery_placement:bottom-right(3) --fonts:script, new-arrivals, Personalization:Embroidery",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Original-Tee-Le-Weekend---AP-TT-OG-100113-CRM---Noma_1_09f5285d-ba6a-4758-b03b-33e5051e8f9b.jpg?v=1721080213,active
original-tee-cream-w-navy-le-weekend,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Original-Tee-Le-Weekend---AP-TT-OG-100113-CRM---Sonnie_3.jpg?v=1721069250,
original-tee-cream-w-navy-le-weekend,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Original-Tee-Le-Weekend---AP-TT-OG-100113-CRM---Sonnie_2_6154dfa4-3c4a-4eaa-9a79-59961124cd03.jpg?v=1721068859,
original-tee-cream-w-navy-le-weekend,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/cream-w-navy-le-weekend_swatch.jpg?v=1721069397,
original-tee-cream-w-navy-le-weekend,,,,,,,
original-tee-cream-w-navy-le-weekend,,,,,,,
oversized-varsity-sweatshirt-forest,Oversized Varsity Sweatshirt,Uncategorized,APPAREL - SWEATSHIRT LS - OVERSIZED SWEATSHIRT,"ALLOCATED, catalogFALL24, cp-fall24, FALL-24, material::care_guides_sweats, MGM --embroidery_placement:bottom-right(3) --fonts:script, Personalization:Embroidery",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Oversized-Varsity-Sweatshirt---AP-LS-LS-100296-FORES---Sonnie_2.jpg?v=1723154101,active
oversized-varsity-sweatshirt-forest,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Oversized-Varsity-Sweatshirt---AP-LS-LS-100296-FORES---Sonnie_1.jpg?v=1723154101,
oversized-varsity-sweatshirt-forest,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Oversized-Varsity-Sweatshirt---AP-LS-LS-100296-FORES---Sonnie_3.jpg?v=1723154101,
oversized-varsity-sweatshirt-forest,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/forest-varsity-sweatshirt_swatch.jpg?v=1723159170,
oversized-varsity-sweatshirt-forest,,,,,,,
oversized-varsity-sweatshirt-forest,,,,,,,
emiliette-oversized-shirt-red-cream-stripe,Emiliette Oversized Shirt,Uncategorized,APPAREL - BLOUSE - EMILIETTE,"ALLOCATED, catalogFALL24, cp-fall24, FALL-24, material::care_guides_cottonpoplin",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100066-RDCRM---Maly_1.jpg?v=1723592927,active
emiliette-oversized-shirt-red-cream-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100066-RDCRM---Maly_2.jpg?v=1723592928,
emiliette-oversized-shirt-red-cream-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100066-RDCRM---Maly_3.jpg?v=1723593236,
emiliette-oversized-shirt-red-cream-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100066-RDCRM---Sonnie_1.jpg?v=1723593790,
emiliette-oversized-shirt-red-cream-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/emiliete-red-and-cream-stripe_swatch.jpg?v=1723593885,
emiliette-oversized-shirt-red-cream-stripe,,,,,,,
emiliette-oversized-shirt-blue-poppy-stripe,Emiliette Oversized Shirt,Uncategorized,APPAREL - BLOUSE - EMILIETTE,"ALLOCATED, catalogFALL24, cp-fall24, FALL-24, material::care_guides_cottonpoplin",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100054-BLPOP---Noma_1_622c73e9-b060-4691-a5f4-9933271f0499.jpg?v=1723590720,active
emiliette-oversized-shirt-blue-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100054-BLPOP---Noma_5.jpg?v=1723590587,
emiliette-oversized-shirt-blue-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100054-BLPOP---Noma_4_ba103526-f741-436c-95dd-92cac3c1dab9.jpg?v=1723590735,
emiliette-oversized-shirt-blue-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Emilette-Oversized-Shirt---AP-TP-BL-100054-BLPOP---Noma_2.jpg?v=1723590587,
emiliette-oversized-shirt-blue-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/emiliete-blue-and-poppy-stripe_swatch.jpg?v=1723590876,
emiliette-oversized-shirt-blue-poppy-stripe,,,,,,,
le-vest-cream-w-studs,"8/22 D2 ALT RCVD Le Vest -, CREAM W/ STUDS -",Uncategorized,APPAREL - SWEATSHIRTS - VEST TANK,"ALLOCATED, catalogFALL24, FALL-24, material::care_guides_sweats, MGM --embroidery_placement:bottom-right(3) --fonts:script, Personalization:Embroidery",False,,active
le-vest-cream-w-studs,,,,,,,
le-vest-cream-w-studs,,,,,,,
le-vest-cream-w-studs,,,,,,,
le-vest-cream-w-studs,,,,,,,
le-vest-cream-w-studs,,,,,,,
le-vest-grey-melange-w-studs,Le Vest,Uncategorized,APPAREL - SWEATSHIRTS - VEST TANK,"FALL-24, le-cute-show, material::care_guides_sweats, MGM --embroidery_placement:bottom-right(3) --fonts:script, new-arrivals, Personalization:Embroidery",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Vest-w-Studs---AP-SS-VS-100014-GRYML---Sonnie_1_2f71d702-bb78-4b20-b26a-1f848972a07e.jpg?v=1721238512,active
le-vest-grey-melange-w-studs,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Vest-w-Studs---AP-SS-VS-100014-GRYML---Sonnie_3.jpg?v=1721240871,
le-vest-grey-melange-w-studs,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Vest-w-Studs---AP-SS-VS-100014-GRYML---Sonnie_2.jpg?v=1721239003,
le-vest-grey-melange-w-studs,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/LE-VEST-GREY-W-STUDS_swatch.jpg?v=1721241041,
le-vest-grey-melange-w-studs,,,,,,,
le-vest-grey-melange-w-studs,,,,,,,
